"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13620_51_63_64_65_66_C","13620_51_63_64_65_66","C",48,"Laurentian-Acadian Northern Pine(-Oak) Forest","Mid2:OPN","Mid2","OPN",77251,698331,155305,74546,17180,11
"13620_51_63_64_65_66_D","13620_51_63_64_65_66","D",26,"Laurentian-Acadian Northern Pine(-Oak) Forest","Late1:CLS","Late1","CLS",NA,698331,155305,40379,NA,NA
"13620_51_63_64_65_66_E","13620_51_63_64_65_66","E",NA,"Laurentian-Acadian Northern Pine(-Oak) Forest",NA,NA,NA,NA,698331,155305,NA,NA,NA
"13620_51_63_64_65_66_Agriculture","13620_51_63_64_65_66","Agriculture",0,"Laurentian-Acadian Northern Pine(-Oak) Forest",NA,NA,NA,40705,698331,155305,0,9053,6
"13620_51_63_64_65_66_Urban","13620_51_63_64_65_66","Urban",0,"Laurentian-Acadian Northern Pine(-Oak) Forest",NA,NA,NA,91002,698331,155305,0,20238,13
"13620_51_63_64_65_66_Water","13620_51_63_64_65_66","Water",0,"Laurentian-Acadian Northern Pine(-Oak) Forest",NA,NA,NA,NA,698331,155305,0,NA,NA
"13620_51_63_64_65_66_UN","13620_51_63_64_65_66","UN",0,"Laurentian-Acadian Northern Pine(-Oak) Forest",NA,NA,NA,NA,698331,155305,0,NA,NA
"13620_51_63_64_65_66_UE","13620_51_63_64_65_66","UE",0,"Laurentian-Acadian Northern Pine(-Oak) Forest",NA,NA,NA,61417,698331,155305,0,13659,9
"13622_41_50_A","13622_41_50","A",17,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated","Early1:ALL","Early1","ALL",3076,425471,94622,16086,684,1
"13622_41_50_B","13622_41_50","B",18,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated","Mid1:CLS","Mid1","CLS",222828,425471,94622,17032,49556,52
"13622_41_50_C","13622_41_50","C",16,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated","Mid2:CLS","Mid2","CLS",NA,425471,94622,15140,NA,NA
"13622_41_50_D","13622_41_50","D",18,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated","Late1:CLS","Late1","CLS",72068,425471,94622,17032,16028,17
"13622_41_50_E","13622_41_50","E",31,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated","Late2:CLS","Late2","CLS",5081,425471,94622,29333,1130,1
"13622_41_50_Agriculture","13622_41_50","Agriculture",0,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",NA,NA,NA,30582,425471,94622,0,6801,7
"13622_41_50_Urban","13622_41_50","Urban",0,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",NA,NA,NA,46517,425471,94622,0,10345,11
"13622_41_50_Water","13622_41_50","Water",0,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",NA,NA,NA,NA,425471,94622,0,NA,NA
"13622_41_50_UN","13622_41_50","UN",0,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",NA,NA,NA,21608,425471,94622,0,4806,5
"13622_41_50_UE","13622_41_50","UE",0,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",NA,NA,NA,23711,425471,94622,0,5273,6
"13651_40_41_50_A","13651_40_41_50","A",12,"Boreal White Spruce-Fir-Hardwood Forest - Inland","Early1:CLS","Early1","CLS",153,1915290,425950,51114,34,0
"13651_40_41_50_B","13651_40_41_50","B",5,"Boreal White Spruce-Fir-Hardwood Forest - Inland","Early2:CLS","Early2","CLS",NA,1915290,425950,21297,NA,NA
"13651_40_41_50_C","13651_40_41_50","C",15,"Boreal White Spruce-Fir-Hardwood Forest - Inland","Mid1:CLS","Mid1","CLS",17,1915290,425950,63892,4,0
"13651_40_41_50_D","13651_40_41_50","D",68,"Boreal White Spruce-Fir-Hardwood Forest - Inland","Late1:CLS","Late1","CLS",6802,1915290,425950,289646,1513,0
"13651_40_41_50_E","13651_40_41_50","E",NA,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,NA,1915290,425950,NA,NA,NA
"13651_40_41_50_Agriculture","13651_40_41_50","Agriculture",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,894,1915290,425950,0,199,0
"13651_40_41_50_Urban","13651_40_41_50","Urban",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,677,1915290,425950,0,151,0
