"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","bps_model","bps_name","label","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13651_40_41_50_C","13651_40_41_50","C",15,"C","Mid1:CLS","Mid1","CLS","13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","C",17,1912451,425319,63798,4,0
"13651_40_41_50_D","13651_40_41_50","D",68,"D","Late1:CLS","Late1","CLS","13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","D",6802,1912451,425319,289217,1513,0
"13651_40_41_50_E","13651_40_41_50","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"13651_40_41_50_Agriculture","13651_40_41_50","Agriculture",0,NA,NA,NA,NA,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Agriculture",894,1912451,425319,0,199,0
"13651_40_41_50_Urban","13651_40_41_50","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13651_40_41_50_Water","13651_40_41_50","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13651_40_41_50_UN","13651_40_41_50","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13651_40_41_50_UE","13651_40_41_50","UE",0,NA,NA,NA,NA,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","UE",812,1912451,425319,0,181,0
"13651_51_A","13651_51","A",7,"A","Early1:CLS","Early1","CLS","13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","A",9069,1912451,425319,29772,2017,0
"13651_51_B","13651_51","B",22,"B","Early2:CLS","Early2","CLS","13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","B",79,1912451,425319,93570,18,0
"13651_51_C","13651_51","C",7,"C","Mid1:CLS","Mid1","CLS","13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","C",35106,1912451,425319,29772,7807,2
"13651_51_D","13651_51","D",64,"D","Late1:CLS","Late1","CLS","13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","D",1506943,1912451,425319,272204,335136,79
"13651_51_E","13651_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"13651_51_Agriculture","13651_51","Agriculture",0,NA,NA,NA,NA,"13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","Agriculture",127598,1912451,425319,0,28377,7
"13651_51_Urban","13651_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13651_51_Water","13651_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13651_51_UN","13651_51","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13651_51_UE","13651_51","UE",0,NA,NA,NA,NA,"13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","UE",77853,1912451,425319,0,17314,4
"13652_51_A","13652_51","A",4,"A","Early1:CLS","Early1","CLS","13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","A",4146,659115,146584,5863,922,1
"13652_51_B","13652_51","B",13,"B","Early2:CLS","Early2","CLS","13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","B",46,659115,146584,19056,10,0
"13652_51_C","13652_51","C",4,"C","Mid1:CLS","Mid1","CLS","13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","C",12346,659115,146584,5863,2746,2
