"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","oid","value","cur_scls_count","lc16_bps_200_cup","lc20_s_cla_220","bps_model","bps_name","groupveg","label","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13023_51_UN","13023_51","UN",0,NA,NA,NA,NA,76,76,20271,1616,6,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Hardwood","UN",195553,43489.9116585,0,4508,10
"13023_51_UE","13023_51","UE",0,NA,NA,NA,NA,85,85,5376,1616,7,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Hardwood","UE",195553,43489.9116585,0,1196,3
"13100_44_50_A","13100_44_50","A",3,"A","Early1:ALL","Early1","ALL",235,235,22,1563,1,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood","A",619,137.6621955,4,5,4
"13100_44_50_B","13100_44_50","B",12,"B","Mid1:OPN","Mid1","OPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13100_44_50_C","13100_44_50","C",20,"C","Mid2:OPN","Mid2","OPN",196,196,86,1563,3,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood","C",619,137.6621955,28,19,14
"13100_44_50_D","13100_44_50","D",57,"D","Mid3:CLS","Mid3","CLS",198,198,77,1563,4,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood","D",619,137.6621955,78,17,12
"13100_44_50_E","13100_44_50","E",8,"E","Late2:CLS","Late2","CLS",200,200,3,1563,5,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood","E",619,137.6621955,11,1,0
"13100_44_50_Agriculture","13100_44_50","Agriculture",0,NA,NA,NA,NA,195,195,16,1563,180,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood","Agriculture",619,137.6621955,0,4,3
"13100_44_50_Urban","13100_44_50","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13100_44_50_Water","13100_44_50","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13100_44_50_UN","13100_44_50","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13100_44_50_UE","13100_44_50","UE",0,NA,NA,NA,NA,199,199,11,1563,7,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood","UE",619,137.6621955,0,2,2
"13110_50_A","13110_50","A",4,"A","Early1:ALL","Early1","ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_B","13110_50","B",26,"B","Mid1:OPN","Mid1","OPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_C","13110_50","C",36,"C","Mid2:OPN","Mid2","OPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_D","13110_50","D",29,"D","Late1:CLS","Late1","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_E","13110_50","E",5,"E","Late2:CLS","Late2","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_Agriculture","13110_50","Agriculture",0,NA,NA,NA,NA,229,229,5,1564,180,"13110_50","North-Central Interior Dry Oak Forest and Woodland","Hardwood","Agriculture",23,5.1150735,0,1,22
"13110_50_Urban","13110_50","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
